ParsedDate,States,Regions,Actual,Predicted,Absolute_Error,Percentage_Error
2020-02-28,Andhra Pradesh,SR,199.1,200.42386,1.3238586425781307,0.6649214678945911
2020-02-29,Andhra Pradesh,SR,194.3,196.79683,2.496829223632801,1.2850382005315497
2020-03-01,Andhra Pradesh,SR,161.9,188.74644,26.846444702148432,16.582115319424602
2020-03-02,Andhra Pradesh,SR,161.3,161.26474,0.03526000976563637,0.021859894461026885
2020-03-03,Andhra Pradesh,SR,166.8,162.08751,4.712490844726574,2.82523431938044
2020-03-04,Andhra Pradesh,SR,168.6,167.33148,1.2685180664062443,0.7523831947842494
2020-03-05,Andhra Pradesh,SR,171.5,170.20384,1.2961578369140625,0.7557771643813775
2020-03-13,Andhra Pradesh,SR,171.3,168.18886,3.111141967773449,1.816194960755078
2020-03-14,Andhra Pradesh,SR,170.8,169.2963,1.5037048339843864,0.880389247063458
2020-03-15,Andhra Pradesh,SR,169.3,172.65834,3.358340454101551,1.9836624064391912
2020-03-16,Andhra Pradesh,SR,179.4,172.12547,7.274526977539068,4.054920277335043
2020-03-17,Andhra Pradesh,SR,175.1,178.85132,3.7513183593750057,2.1423862703455203
2020-03-18,Andhra Pradesh,SR,182.5,172.89977,9.600234985351562,5.260402731699487
2020-03-19,Andhra Pradesh,SR,188.4,180.91537,7.484625244140631,3.9727310213060667
2020-03-20,Andhra Pradesh,SR,185.9,184.78531,1.1146911621093807,0.5996186993595377
2020-03-21,Andhra Pradesh,SR,187.1,184.91809,2.1819091796874943,1.1661727309927816
2020-03-22,Andhra Pradesh,SR,162.0,185.56854,23.56854248046875,14.54848301263503
2020-03-23,Andhra Pradesh,SR,164.1,163.31815,0.7818542480468693,0.4764498769328881
2020-03-24,Andhra Pradesh,SR,160.3,164.69145,4.391452026367176,2.739520914764302
2020-03-25,Andhra Pradesh,SR,155.6,159.49867,3.898672485351568,2.5055735767040925
2020-03-26,Andhra Pradesh,SR,130.6,153.4702,22.870199584960943,17.511638273323847
2020-03-27,Andhra Pradesh,SR,139.7,135.47769,4.222308349609364,3.0224111307153643
2020-03-28,Andhra Pradesh,SR,148.7,153.27066,4.570660400390636,3.0737460661672067
2020-03-29,Andhra Pradesh,SR,164.0,165.09253,1.092529296875,0.6661764005335366
2020-03-30,Andhra Pradesh,SR,167.9,163.2343,4.665701293945318,2.7788572328441443
2020-03-31,Andhra Pradesh,SR,173.5,172.32126,1.178741455078125,0.679389887653098
2020-04-01,Andhra Pradesh,SR,173.5,172.60793,0.8920745849609375,0.514164025914085
2020-04-02,Andhra Pradesh,SR,171.0,173.10947,2.109466552734375,1.2336061711896928
2020-04-03,Andhra Pradesh,SR,164.9,171.38235,6.482354736328119,3.9310823143287563
2020-04-04,Andhra Pradesh,SR,165.1,164.4252,0.6747985839843693,0.4087211290032522
2020-04-05,Andhra Pradesh,SR,190.0,166.73776,23.262237548828125,12.243282920435854
2020-04-13,Andhra Pradesh,SR,192.6,187.8223,4.777703857421869,2.4806354399905866
2020-04-14,Andhra Pradesh,SR,193.0,188.34692,4.653076171875,2.4109202963082903
2020-04-15,Andhra Pradesh,SR,201.0,187.8105,13.189498901367188,6.561939751923974
2020-04-16,Andhra Pradesh,SR,199.4,202.53488,3.1348815917968693,1.5721572677015392
2020-04-17,Andhra Pradesh,SR,197.4,195.98358,1.4164184570312557,0.7175372122752055
2020-04-18,Andhra Pradesh,SR,195.0,196.14159,1.1415863037109375,0.5854288736979167
2020-04-19,Andhra Pradesh,SR,164.0,191.72188,27.721878051757812,16.903584177901106
2020-04-20,Andhra Pradesh,SR,166.7,165.25465,1.4453460693359261,0.8670342347546048
2020-04-21,Andhra Pradesh,SR,165.9,168.19093,2.290933227539057,1.380912132332162
2020-04-22,Andhra Pradesh,SR,169.2,168.11678,1.0832244873046761,0.6402035976977992
2020-04-23,Andhra Pradesh,SR,172.9,170.98914,1.9108642578125057,1.1051846488215764
2020-04-24,Andhra Pradesh,SR,172.6,172.8274,0.22739257812500568,0.13174541026941233
2020-04-25,Andhra Pradesh,SR,167.2,173.72255,6.522549438476574,3.901046314878334
2020-04-26,Andhra Pradesh,SR,174.6,170.35336,4.246636962890619,2.4322090280015
2020-04-27,Andhra Pradesh,SR,183.4,173.95811,9.441885375976568,5.148247206094093
2020-04-28,Andhra Pradesh,SR,193.4,182.19067,11.209326171875006,5.795928734164946
2020-04-29,Andhra Pradesh,SR,184.1,190.83362,6.733618164062506,3.6575872699959295
2020-04-30,Andhra Pradesh,SR,187.5,181.64108,5.858917236328125,3.124755859375
2020-05-01,Andhra Pradesh,SR,187.2,185.15479,2.0452148437499886,1.092529296874994
2020-05-02,Andhra Pradesh,SR,189.7,185.1259,4.574099731445301,2.4112281135715876
2020-05-03,Andhra Pradesh,SR,163.9,186.13002,22.230020141601557,13.563160550092467
2020-05-04,Andhra Pradesh,SR,167.5,164.61021,2.8897857666015625,1.7252452337919777
2020-05-05,Andhra Pradesh,SR,170.6,170.23784,0.3621612548828068,0.21228678480821034
2020-05-13,Andhra Pradesh,SR,171.9,174.38895,2.4889465332031193,1.4479037424101915
2020-05-14,Andhra Pradesh,SR,171.7,174.38895,2.6889465332031364,1.5660725295300735
2020-05-15,Andhra Pradesh,SR,174.8,173.6289,1.1710937500000114,0.6699620995423405
2020-05-16,Andhra Pradesh,SR,177.3,174.06076,3.2392395019531364,1.8269822346041378
2020-05-17,Andhra Pradesh,SR,184.4,177.85951,6.540487670898443,3.546902207645576
2020-05-18,Andhra Pradesh,SR,180.6,185.01521,4.415213012695318,2.4447469616253144
2020-05-19,Andhra Pradesh,SR,184.6,180.78897,3.8110290527343693,2.064479443518077
2020-05-20,Andhra Pradesh,SR,189.5,188.18498,1.3150177001953125,0.6939407388893469
2020-05-21,Andhra Pradesh,SR,188.1,188.31776,0.21776428222656818,0.11577048496893577
2020-05-22,Andhra Pradesh,SR,187.4,187.66435,0.2643524169921818,0.14106318943019308
2020-05-23,Andhra Pradesh,SR,180.5,187.1076,6.60760498046875,3.6607229808691133
2020-06-01,Andhra Pradesh,SR,151.6,180.69221,29.092214965820318,19.190115412810236
2020-06-02,Andhra Pradesh,SR,152.6,155.59561,2.9956115722656307,1.9630482124938602
2020-06-03,Andhra Pradesh,SR,153.2,156.08315,2.883145141601574,1.8819485258495916
2020-06-04,Andhra Pradesh,SR,156.4,155.70393,0.6960662841796932,0.44505516891284724
2020-06-05,Andhra Pradesh,SR,156.0,154.87204,1.127960205078125,0.7230514135116186
2020-07-01,Andhra Pradesh,SR,155.0,156.35783,1.3578338623046875,0.8760218466481855
2020-07-02,Andhra Pradesh,SR,150.3,157.8598,7.559802246093739,5.029808546968555
2020-07-03,Andhra Pradesh,SR,157.2,159.33073,2.130734252929699,1.3554289140774167
2020-07-04,Andhra Pradesh,SR,153.6,166.08006,12.480062866210943,8.12504092852275
2020-07-05,Andhra Pradesh,SR,159.4,162.19469,2.794686889648432,1.753254008562379
2020-08-01,Andhra Pradesh,SR,163.6,163.72934,0.12933959960938068,0.07905843496905911
2020-08-02,Andhra Pradesh,SR,167.9,166.43527,1.4647277832031307,0.8723810501507627
2020-08-03,Andhra Pradesh,SR,169.6,176.45319,6.853186035156256,4.040793652804396
2020-08-04,Andhra Pradesh,SR,169.7,171.53847,1.8384674072265739,1.0833632334864902
2020-08-05,Andhra Pradesh,SR,195.3,176.44844,18.8515594482422,9.652616204937122
2020-09-01,Andhra Pradesh,SR,195.9,191.35097,4.549032592773443,2.322119751288128
2020-09-02,Andhra Pradesh,SR,201.2,191.4592,9.740802001953114,4.84135288367451
2020-09-03,Andhra Pradesh,SR,199.5,201.25635,1.75634765625,0.8803747650375939
2020-09-04,Andhra Pradesh,SR,194.7,195.48592,0.7859161376953239,0.4036549243427447
2020-09-05,Andhra Pradesh,SR,185.7,190.34991,4.649914550781261,2.503992757555876
2020-10-01,Andhra Pradesh,SR,182.4,185.2605,2.8604980468749943,1.5682555081551501
2020-10-02,Andhra Pradesh,SR,169.9,179.5164,9.616403198242182,5.660037197317353
2020-10-03,Andhra Pradesh,SR,171.9,169.77565,2.124349975585943,1.2358056867864706
2020-10-04,Andhra Pradesh,SR,171.4,170.70132,0.6986755371093807,0.40762866809182063
2020-10-05,Andhra Pradesh,SR,179.4,172.16881,7.231192016601568,4.030764780714363
2020-11-01,Andhra Pradesh,SR,169.3,173.2302,3.9301940917968636,2.321437738804999
2020-11-02,Andhra Pradesh,SR,179.4,171.60184,7.798162841796881,4.3468020299871135
2020-11-03,Andhra Pradesh,SR,175.1,179.17836,4.078359985351568,2.329160471360119
2020-11-04,Andhra Pradesh,SR,195.1,173.17339,21.926614379882807,11.238654218289497
2020-11-05,Andhra Pradesh,SR,195.8,189.49376,6.306240844726574,3.220756304763316
2020-12-01,Andhra Pradesh,SR,196.5,191.384,5.115997314453125,2.6035609742763994
2020-12-02,Andhra Pradesh,SR,197.6,190.95937,6.640634155273432,3.3606448154217774
2020-12-03,Andhra Pradesh,SR,197.3,195.27435,2.0256469726562614,1.0266837165008929
2020-12-04,Andhra Pradesh,SR,186.1,194.90167,8.801672363281256,4.7295391527572574
2020-12-05,Andhra Pradesh,SR,181.9,185.34634,3.4463439941406193,1.8946366103027044
2020-02-28,Arunachal Pradesh,NER,2.2,1.5760348,0.6239652156829836,28.362055258317433
2020-02-29,Arunachal Pradesh,NER,1.8,2.8717706,1.0717706203460693,59.542812241448296
2020-03-01,Arunachal Pradesh,NER,2.1,2.2280886,0.128088617324829,6.099457967849
2020-03-02,Arunachal Pradesh,NER,2.2,2.441887,0.24188690185546857,10.994859175248571
2020-03-03,Arunachal Pradesh,NER,2.1,2.5844107,0.4844106674194335,23.067174639020642
2020-03-04,Arunachal Pradesh,NER,2.2,2.4657013,0.26570134162902814,12.07733371041037
2020-03-05,Arunachal Pradesh,NER,2.2,2.510255,0.31025509834289533,14.102504470131604
2020-03-13,Arunachal Pradesh,NER,2.4,1.5920355,0.8079644680023192,33.665186166763306
2020-03-14,Arunachal Pradesh,NER,2.3,1.7439182,0.5560818195343016,24.177470414534852
2020-03-15,Arunachal Pradesh,NER,2.2,2.195063,0.004936885833740412,0.22440390153365508
2020-03-16,Arunachal Pradesh,NER,2.1,2.8313274,0.7313274383544921,34.82511611211867
2020-03-17,Arunachal Pradesh,NER,2.2,2.3253336,0.12533359527587873,5.696981603449033
2020-03-18,Arunachal Pradesh,NER,2.5,2.2923756,0.2076244354248047,8.304977416992188
2020-03-19,Arunachal Pradesh,NER,2.3,2.4288077,0.1288077354431154,5.600336323613714
2020-03-20,Arunachal Pradesh,NER,2.2,2.17246,0.027539920806884943,1.2518145821311337
2020-03-21,Arunachal Pradesh,NER,2.3,2.1526046,0.1473954200744627,6.4084965249766395
2020-03-22,Arunachal Pradesh,NER,1.5,2.4401817,0.9401817321777344,62.67878214518229
2020-03-23,Arunachal Pradesh,NER,1.5,2.0967047,0.5967047214508057,39.78031476338704
2020-03-24,Arunachal Pradesh,NER,1.5,1.8445562,0.34455621242523193,22.97041416168213
2020-03-25,Arunachal Pradesh,NER,2.1,1.7704005,0.3295994758605958,15.695213136218847
2020-03-26,Arunachal Pradesh,NER,2.0,1.9278506,0.07214939594268799,3.6074697971343994
2020-03-27,Arunachal Pradesh,NER,1.4,2.0600836,0.6600836277008058,47.14883055005756
2020-03-28,Arunachal Pradesh,NER,1.7,3.030279,1.3302789211273194,78.2517012427835
2020-03-29,Arunachal Pradesh,NER,2.1,4.596586,2.496586227416992,118.88505844842818
2020-03-30,Arunachal Pradesh,NER,2.0,1.4662185,0.5337815284729004,26.68907642364502
2020-03-31,Arunachal Pradesh,NER,2.2,4.443447,2.243447113037109,101.97486877441403
2020-04-01,Arunachal Pradesh,NER,2.0,2.34241,0.3424100875854492,17.12050437927246
2020-04-02,Arunachal Pradesh,NER,2.1,2.3358023,0.23580231666564933,11.2286817459833
2020-04-03,Arunachal Pradesh,NER,2.0,2.318011,0.3180110454559326,15.90055227279663
2020-04-04,Arunachal Pradesh,NER,2.0,2.318011,0.3180110454559326,15.90055227279663
2020-04-05,Arunachal Pradesh,NER,2.2,2.305961,0.10596089363098127,4.816404255953693
2020-04-13,Arunachal Pradesh,NER,2.3,2.3805125,0.0805124759674074,3.5005424333655397
2020-04-14,Arunachal Pradesh,NER,2.2,2.3805125,0.18051247596740705,8.205112543973048
2020-04-15,Arunachal Pradesh,NER,2.4,2.0054333,0.3945666790008544,16.440278291702267
2020-04-16,Arunachal Pradesh,NER,2.4,2.2848487,0.11515130996704093,4.797971248626705
2020-04-17,Arunachal Pradesh,NER,2.3,2.323067,0.02306694984436053,1.002910862798284
2020-04-18,Arunachal Pradesh,NER,2.4,2.2887702,0.11122980117797843,4.634575049082434
2020-04-19,Arunachal Pradesh,NER,2.2,2.5874324,0.3874323844909666,17.61056293140757
2020-04-20,Arunachal Pradesh,NER,2.3,2.4828413,0.18284125328063983,7.9496197078539055
2020-04-21,Arunachal Pradesh,NER,2.2,2.4629858,0.26298575401306135,11.953897909684606
2020-04-22,Arunachal Pradesh,NER,2.2,2.3888302,0.18883018493652326,8.58319022438742
2020-04-23,Arunachal Pradesh,NER,2.3,2.3888302,0.08883018493652362,3.8621819537618967
2020-04-24,Arunachal Pradesh,NER,2.1,2.2689147,0.16891469955444327,8.043557121640156
2020-04-25,Arunachal Pradesh,NER,2.0,2.224361,0.22436094284057617,11.218047142028809
2020-04-26,Arunachal Pradesh,NER,2.2,2.463971,0.263970899581909,11.998677253723136
2020-04-27,Arunachal Pradesh,NER,2.2,2.239598,0.03959803581237775,1.7999107187444432
2020-04-28,Arunachal Pradesh,NER,2.1,2.2124918,0.112491750717163,5.356750034150619
2020-04-29,Arunachal Pradesh,NER,2.1,2.1978064,0.09780635833740225,4.657445635114392
2020-04-30,Arunachal Pradesh,NER,2.0,1.5315676,0.4684324264526367,23.421621322631836
2020-05-01,Arunachal Pradesh,NER,2.0,2.3702736,0.3702735900878906,18.51367950439453
2020-05-02,Arunachal Pradesh,NER,2.2,2.4082196,0.20821957588195783,9.464526176452628
